trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
250,False,"{'a': 0.4, 'e': 0.31532236239526845}",25,10,-31.547747037895213,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
251,False,"{'a': 0.4, 'e': 0.31057351754766016}",20,12,15.14552191749744,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.4, 'e': 0.3058169083782891}",20,2,-3.0363286009021797,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
253,False,"{'a': 0.4, 'e': 0.3010526538021363}",25,7,-36.67885459077915,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
254,False,"{'a': 0.4, 'e': 0.2962808729253185}",25,3,-7.699906222558179,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
255,False,"{'a': 0.4, 'e': 0.2915016850421086}",20,0,-21.539860658075064,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
256,False,"{'a': 0.4, 'e': 0.2867152096319553}",25,12,-1.0406806614250177,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
257,False,"{'a': 0.4, 'e': 0.2819215663564942}",25,0,-26.048398958458122,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
258,False,"{'a': 0.4, 'e': 0.2771208750565574}",25,20,10.122052267369206,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.4, 'e': 0.27231325574917775}",20,1,3.6860939187595347,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
260,False,"{'a': 0.4, 'e': 0.2674988286245871}",20,7,-7.1990508190710845,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
261,False,"{'a': 0.4, 'e': 0.2626777140432134}",30,14,27.783670751796787,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.4, 'e': 0.2578500325326694}",20,0,-66.05387743862758,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
263,False,"{'a': 0.4, 'e': 0.253015904784742}",20,5,-41.685425445673474,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
264,False,"{'a': 0.4, 'e': 0.24817545165237268}",25,10,11.609222516611194,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.4, 'e': 0.24332879414663805}",30,9,19.94600034086821,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.4, 'e': 0.2384760534337229}",25,2,-23.032575453472,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
267,False,"{'a': 0.4, 'e': 0.23361735083189278}",25,0,17.280909709366885,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
268,False,"{'a': 0.4, 'e': 0.22875280780845916}",20,8,8.776764436131689,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
269,False,"{'a': 0.4, 'e': 0.22388254597674478}",25,0,-59.72155050803083,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
270,False,"{'a': 0.4, 'e': 0.21900668709304127}",25,17,9.57400949380623,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.4, 'e': 0.21412535305356725}",25,15,19.657698151582515,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.4, 'e': 0.20923866589141904}",20,7,-66.43987826778532,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 2}",1
273,False,"{'a': 0.4, 'e': 0.2043467477735216}",20,0,6.455138904909894,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
274,False,"{'a': 0.4, 'e': 0.19944972099757263}",20,0,-27.471181829611293,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
275,False,"{'a': 0.4, 'e': 0.19454770798898696}",30,15,28.315942569212766,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.4, 'e': 0.18964083129783404}",20,13,-41.266996385110076,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
277,False,"{'a': 0.4, 'e': 0.184729213595776}",25,8,19.93572928186291,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
278,False,"{'a': 0.4, 'e': 0.17981297767299914}",25,20,11.380088440678342,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.4, 'e': 0.17489224643514592}",20,4,1.721002904759255,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
280,False,"{'a': 0.4, 'e': 0.1699671429002406}",25,18,16.490146993398536,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.4, 'e': 0.1650377901956154}",30,19,18.8185554524665,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.4, 'e': 0.16010431155483082}",35,18,-62.66569100031762,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
283,False,"{'a': 0.4, 'e': 0.15516683031459635}",20,10,-20.678237477224958,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
284,False,"{'a': 0.4, 'e': 0.1502254699116854}",20,9,8.193695323213202,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
285,False,"{'a': 0.4, 'e': 0.1452803538798511}",20,14,12.18931655829821,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.4, 'e': 0.1403316058467363}",20,10,7.048653404865963,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
287,False,"{'a': 0.4, 'e': 0.13537934953078443}",25,13,6.040746282826834,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
288,False,"{'a': 0.4, 'e': 0.1304237087381451}",35,20,-17.230744442861837,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
